"","paperName","researcher","journal","citation","year"
"374","Mohamed Kamal Professor of Public Policy phone:(617) 384-5267 email: Rohini_Pande@ harvard. edu faculty url: http://www. hks. harvard. edu/about/faculty-staff-directory/rohini<U+00A0>…","R Pande","Annual Review of Economics 3, 215-237, 2010","0","2010"
"375","ENTRETIEN: Sortir de la pauvreté au XXI e siècle","E DUFLO, J ATTALI, MC BARBé-CONTI","Revue des Deux Mondes, 33-42, 2010","0","2010"
"376","Evaluation des politiques de développement","E DUFLO","UVT médiatheque, 2010","0","2010"
"377","Savoirs contre pauvreté","E Duflo","L’annuaire du Collège de France. Cours et travaux, 945-963, 2010","0","2010"
"378","DP7754 Giving Credit Where it is Due","A Banerjee, E Duflo",NA,"0","2010"
"379","évaluation des politiques de développement regards croisés: scientifiques et acteurs de terrain","E Duflo","La lettre du Collège de France, 27, 2009","0","2009"
"380","DP7402 Nudging Farmers to Utilize Fertilizer: Theory and Experimental Evidence from Kenya","E Duflo, M Kremer, J Robinson",NA,"0","2009"
"381","Chair Knowledge against Poverty–Academic Year 2008-2009","E Duflo","La lettre du Collège de France, 18, 2009","0","2009"
"382","DP7300 Marry for What? Caste and Mate Selection in Modern India","A Banerjee, E Duflo, M Ghatak, J Lafortune",NA,"0","2009"
"383","Essays on contract theory and organizational economics","R Ke","Massachusetts Institute of Technology, 2009","0","2009"
"384","Case 2: Remedial Education in India","E Duflo, L Linden",NA,"0","2009"
"385","Essays in the economics of education and program evaluation","H Zhang","Massachusetts Institute of Technology, 2009","0","2009"
"386","Bilan/Essai-The experimental approach to development economics","AV Banerjee, E Duflo","Revue d'Economie Politique, 691, 2009","0","2009"
"387","Empirical essays on finance and development","JP Shapiro","Massachusetts Institute of Technology, 2009","0","2009"
"388","14.73 The Challenge of World Poverty, Fall 2009","D Donaldson, E Duflo",NA,"0","2009"
"389","Can political affirmative action for women reduce gender bias?","L Beaman, R Chattopadhyay, E Duflo, R Pande, P Topalova","Vox, 2009","0","2009"
"390","DP7043 Peer Effects, Teacher Incentives, and the Impact of Tracking: Evidence from a Randomized Evaluation in Kenya","E Duflo, P Dupas, M Kremer",NA,"0","2008"
"391","DP7037 The Experimental Approach to Development Economics","A Banerjee, E Duflo",NA,"0","2008"
"392","Powerful Women: Does Exposure Reduce Bias?","R Chattopadyay, E Duflo, R Pande, P Topalova","CID Working Papers, 2008","0","2008"
"393","DP6922 Powerful Women: Does Exposure Reduce Bias?","L Beaman, R Chattopadhyay, E Duflo, R Pande, P Topalova",NA,"0","2008"
"394","DP6781 Pitfalls of Participatory Programs: Evidence from a Randomized Evaluation in Education in India","A Banerjee, R Banerji, E Duflo, R Glennerster, S Khemani",NA,"0","2008"
"395","DP6682 Monitoring Works: Getting Teachers to Come to School","E Duflo, R Hanna, S Ryan",NA,"0","2008"
"396","Workers Remittances: An Important and Stable Source of External Development Finance.","D E. Adenutsi, CRK Ahortor, P Acosta, C Calderon, P Fajnzylber, H Lopez, ...","Journal of Applied Sciences 10 (4), pp: 45-71-pp: 45-71, 2008","0","2008"
"397","SAPI EN. S","E Duflo, M Greenstone, R Hanna",NA,"0","2008"
"398","Proceedings of the twenty-second annual congress of the European Economic Association: August 27-31, 2007: Budapest, Hungary","G Corsetti, European Economic Association","Cambridge: MIT Press, 2008 6, 255-726, 2008","0","2008"
"399","How to Spend $50 Billion to Make the World a Better Place","A Banerjee, A Deaton, E Duflo","Journal of Economic Literature 45 (4), 1044-1049, 2007","0","2007"
"400","DP6613 What is Middle Class about the Middle Classes Around the World?","A Banerjee, E Duflo",NA,"0","2007"
"401","Impact evaluation of Pratham’s “Learning to Read” and “Reading to Learn” interventions","A Banerjee, R Banerji, M Chavan, E Duflo, M Walton",NA,"0","2007"
"402","Udaipur Health Study","A Banerjee, A Deaton, E Duflo",NA,"0","2007"
"403","Balsakhi","A Banerjee, S Cole, E Duflo, L Linden",NA,"0","2007"
"404","REMEDYING EDUCATION: EVIDENCE FROM TWO RANDOMIZED EXPERIMENTS IN INDIA* ABHIJIT V. BANERJEE SHAWN COLE","E DUFLO, L LINDEN","Technology 1235, 2007","0","2007"
"405","DAMS* ESTHER DUFLO AND ROHINI PANDE","E DUFLO","Technology 601, 2007","0","2007"
"406","DP6140 Long Run Impacts of Income Shocks: Wine and Phylloxera in 19th Century France","A Banerjee, E Duflo, G Postel-Vinay, T Watts",NA,"0","2007"
"407","Consumption and remittances in migrant households: Toward a productive use of remittances.","CRK Ahortor, DE Adenutsi, PA Acosta, EKK Lartey, FS Mandelman, ...","Journal of Applied Sciences 9 (18), 155-173, 2007","0","2007"
"408","DP6059 Using Randomization in Development Economics Research: A Toolkit","E Duflo, R Glennerster, M Kremer",NA,"0","2007"
"409","DP5968 The Economic Lives of the Poor","A Banerjee, E Duflo",NA,"0","2006"
"410","DP5446 Remedying Education: Evidence from Two Randomized Experiments in India","A Banerjee, S Cole, E Duflo, L Linden",NA,"0","2006"
"411","Relative risks and the market for sex: teenagers sugar daddies and HIV in Kenya. Draft.","P Dupas","[Unpublished] 2006 Aug., 2006","0","2006"
"412","THE ECONOMIC LIVES OF THE POOR DEVELOPMENT ECONOMICS and PUBLIC POLICY","A Banerjee, E Duflo","DISCUSSION PAPER SERIES-CENTRE FOR ECONOMIC POLICY RESEARCH LONDON 5968, 2006","0","2006"
"413","BREAD Policy Paper","E Duflo",NA,"0","2005"
"414","DP5426 Monitoring Works: Getting Teachers to Come to School","E Duflo, R Hanna",NA,"0","2005"
"415","1050 Massachusetts Avenue Cambridge, MA 02138 October 2005","E Duflo, R Pande",NA,"0","2005"
"416","DP5325 Dams","E Duflo, R Pande",NA,"0","2005"
"417","DP5332 Saving Incentives for Low-and Middle-Income Families: Evidence from a Field Experiment with H&R Block","E Duflo, W Gale, J Liebman, P Orszag, E Saez",NA,"0","2005"
"418","Understanding Technology Adoption: Fertilizer in Western Kenya Preliminary Results from Field Experiments (EXTREMELY PRELIMINARY AND INCOMPLETE) September 22, 2005","E Duflo, M Kremer, J Robinson",NA,"0","2005"
"419","The taxman cometh.","J Kounouwewa, D Chao, R Almeida, P Carneiro, E Aryeetey, E Aryeetey, ...","The International Journal of Applied Economics and Finance 5 (1), 1211-1221, 2005","0","2005"
"420","Assessing The Impact of Development Aid Programs: The Role of Randomized Evaluations","E Duflo","Revue d’économie du développement 13 (2), 185-226, 2005","0","2005"
"421","14.74 Foundations of Development Policy Syllabus","E Duflo, A Banerjee",NA,"0","2005"
"422","Abel, A., 335n8 Adams, M., 208, 213 Adams, Peter, 217n3, 230, 235 Agarwala, SN, 360n3","C Ai, JG Altonji, J Ameriks, GF Anderson, T Anderson, O Attanasio, ...","Analyses in the economics of aging 1000, 417, 2005","0","2005"
"423","DP4681 Do Firms Want to Borrow More? Testing Credit Constraints Using a Directed Lending Program","A Banerjee, E Duflo",NA,"0","2004"
"424","Essays in development economics","D Chen","Massachusetts Institute of Technology, 2004","0","2004"
"425","14.74 Foundations of Development Policy, Spring 2004","E Duflo, A Banerjee",NA,"0","2004"
"426","POST-WASHINGTON CONSENSUS TASK FORCE REPORT","E DUFLO",NA,"0","2003"
"427","Distribution and Development: A New Look at the Developing World","E Duflo","Journal of Economic Literature 41 (3), 937, 2003","0","2003"
"428","IN ECONOMICS","E Duflo","Finance & Development, 4, 2003","0","2003"
"429","14.773 Political Economy of Institutions and Development","D Acemoglu, A Banerjee, E Duflo",NA,"0","2003"
"430","Bureau for Research in Economic Analysis of Development","E Duflo, R Chattopadhyay",NA,"0","2003"
"431","Women as policy makers: evidence from an India-wide randomized policy experiment. Revised.","R Chattopadhyay, E Duflo","Cambridge Massachusetts Massachusetts Institute of Technology [MIT] Poverty<U+00A0>…, 2003","0","2003"
"432","Development Economics Fall 2002","E Duflo, A Banerjee, M Kremer","Development, 2002","0","2002"
"433","Controlling the costs of HIV/AIDS management--unique management software to empower organisations to formulate and implement strategies best suited for their specific requirements.","B van Niekerk, N du Preez, B Katz","[Unpublished] 2002. Prepared for the IAEN Economics of HIV/AIDS in<U+00A0>…, 2002","0","2002"
"434","14.771 Development Economics: Microeconomic Issues and Policy Models, Fall 2002","E Duflo, A Banerjee, M Kremer",NA,"0","2002"
"435","American Economic Association","E Duflo","The American Economic Review 91 (4), 795-813, 2001","0","2001"
"436","The Economics of School Quality Investments in Developing Countries: An Empirical Study of Ghana","E Duflo","Journal of Economic Literature 39 (3), 927, 2001","0","2001"
"437","Boston University, Institute for Economic Development Discussion Paper","E Duflo","Policy 2001, 24, 2001","0","2001"
"438","Health Services Regional Management Project: mission report for March 19 to 30 2001. Proposed decentralization of the healthcare system in Morocco","T Bossert","[Rabat Morocco] John Snow [JSI] 2001 Jun 28., 2001","0","2001"
"439","The Economics of School Quality Investments in Developing Countries: An Empirical Study of Ghana","J Hoddinott","The Economic Journal 111 (469), 136-136, 2001","0","2001"
"440","GLEWWE, PAUL, WITH CONTRIBUTIONS BY JAIKISHAN DESAI, DEAN JOLLIFFE, RAYLYNN OLIVER AND WIM VIJBERGER. The Economics of School Quality Investments in Developing Countries: An<U+00A0>…","E Duflo","JOURNAL OF ECONOMIC LITERATURE 39 (3), 927-927, 2001","0","2001"
"441","The Impact of Agricultural Extension Services: The Case of Grape Production in Argentina.","M Ghorbani, JM Alston, MC Marra, PG Pardey, TJ Wyatt, D Birkhaeuser, ...","Journal of Applied Sciences 8 (20), 185-215, 2000","0","2000"
"442","Dani Rodrik “The Past, Present, and Future of Economic Growth” Global Citizens Foundation, Working Paper 1, 2013. Lant Pritchett “Divergence, Big Time.” Journal of Economic<U+00A0>…","A Banerjee, E Duflo, I Morris, A Deaton","Journal of Economic Perspectives 11, 3, 1997","0","1997"
"443","Industrial Restructuring in Russia. Early Reactions of Firms to the Shock of Liberalization","C Senik, E Duflo","DELTA (Ecole normale supérieure), 1995","0","1995"
"444","Remittances and poverty nexus: Evidence from Pakistan.","D Emilson Adenutsi, RH Adams Jr, RH Adams Jr, RH Adams Jr, J Page, ...","The International Journal of Applied Economics and Finance 4 (1), 1645-1669, 1991","0","1991"
"445","Alleviating poverty with experimental research: The 2019 Nobel laureates","M Kremer, C Snyder, F Mashwama, S Baird, J Hicks, E Miguel, ...",NA,"0",NA
"446","Police Performance and Public Perception in Rajasthan, India","A Banerjee, D Keniston, E Duflo, R Chattopadhyay",NA,"0",NA
"447","Esther Duflo: 2010 John Bates Clark Medalist","E Duflo",NA,"0",NA
"448","Poor Economics: A Radical Rethinking of the Way to Fight Global Poverty","AV BANERJEE, E DUFLO",NA,"0",NA
"449","Voter bias and women in politics: Evidence from French parliamentary elections","M Bagues, P Campa, B Esteve-Volart, E Duflo, P Topalova, ...",NA,"0",NA
"450","Taxonomy Reading","AV Banerjee, A Garfinkel, AR Figueroa, AI Goldman, A Fagnant, ...",NA,"0",NA
"451","Electoral gender quotas fail to empower women","M Bagues, B Esteve-Volart, E Duflo, P Topalova, R Chattopadhyay, ...",NA,"0",NA
"452","Online Appendix for “Double/Debiased/Neyman Machine Learning of Treatment Effects”","V Chernozhukov, D Chetverikov, M Demirer, E Duflo, C Hansen, ...",NA,"0",NA
"453","Job ladders and earnings of displaced workers","M Cortes, N Jaimovich, C Nekarda, H Siu, J Meer, J West, B Crépon, ...",NA,"0",NA
"454","Fixed-term contracts hurt low-skilled workers in the long run","J Dolado, B Crépon, E Duflo, M Gurgand, R Rathelot, P Zamora",NA,"0",NA
"455","France’s weak economic performance: Sick of taxation?","B Crépon, E Duflo, M Gurgand, R Rathelot, P Zamora, J Van Reenen, ...",NA,"0",NA
"456","Permuted Title Index","WB Gray, KK Charles, C Maignan, ME Page, S Girma, R Kneller, ...",NA,"0",NA
"457","Permuted Title Index","PA Grout, GJ Borjas, P Vermeulen, C Holthausen, M Mandler, P Bofinger, ...",NA,"0",NA
"458","Permuted Title Index","TH Kim, AM Vousten-Sweere, G Charness, A Cuxart Jardi, O Amat, ...",NA,"0",NA
"459","Aux urnes, précariat!","AV Banerjee, E Duflo",NA,"0",NA
"460","American Economic Journal","A GALEOTTI, BW ROGERS, A BANERJEE, E DUFLO, M GHATAK, ...",NA,"0",NA
"461","Economic Policy A","M AKBULUT-YUKSEL, M YUKSEL, N BENHASSINE, F DEVOTO, ...",NA,"0",NA
"462","Index by Author to Volume 22","FZ Ahmed, E Werker, KB Anderson, E Durbin, A Michael, AV Banerjee, ...",NA,"0",NA
"463","Index by Author to Volume 20","H David, MG Duggan, A Banerjee, E Duflo, RJ Barro, RM McCleary, G Bel, ...",NA,"0",NA
"464","Bernard Hoekman, Francis Ng, and Marcelo Olarreaga","NH Blunch, D Verner, PA Messerlin, D Bhattasali, L Shantong, W Martin, ...",NA,"0",NA
"465","MIT Dept. of Economics Working Papers Series Research and Teaching Output of the MIT Community","D Acemoglu, M Mostagir, A Ozdaglar, D Laibson, JA List, AV Banerjee, ...",NA,"0",NA
"466","JUSTINE S. HASTINGS AND JESSE M. SHAPIRO Fungibility and Consumer Choice: Evidence from Commodity Price Shocks 1449","E DUFLO, M GREENSTONE, R PANDE, N RYAN, I BEN-DAVID, ...",NA,"0",NA
"467","Morocco-Poverty and social impact analysis of the National Slum Upgrading Program","A Banerjee, E Duflo, R Banerji, R Glennerster, S Khemani","The World Bank, 0","0",NA
"468","Armenia-Third Social Investment Fund Project","A Banerjee, E Duflo, R Banerji, R Glennerster, S Khemani","The World Bank, 0","0",NA
"469","Ecuador-Agricultural Competitiveness and Sustainable Rural Development Project","A Banerjee, E Duflo, R Banerji, R Glennerster, S Khemani","The World Bank, 0","0",NA
"470","St. Lucia-Pilot for Organization of Eastern Caribbean States (OECS) Skills Enhancement for Inclusive Growth Project","A Banerjee, E Duflo, R Banerji, R Glennerster, S Khemani","The World Bank, 0","0",NA
"471","1) Paternalism against freedom: le “devoir du patron” and the white man’s burden","E Duflo",NA,"0",NA
"472","Economía de la pobreza: repensando la lucha contra la pobreza global","AV Banerjee, E Duflo",NA,"0",NA
"473","Index by Author to Volume 24","D Acemoglu, JC Aker, IM Mbiti, JD Angrist, JS Pischke, AJ Auerbach, ...",NA,"0",NA
"474","Response to All-Party Parliamentary Group on Microfinance Call for Written Evidence","WAW Learning, A Banerjee, E Duflo, R Glennerster, C Kinnan",NA,"0",NA
"475","J-PAL Datasets Research and Teaching Output of the MIT Community","R Chattopadhyay, E Duflo, A Banerjee, A Deaton, R Hanna, S Cole, ...",NA,"0",NA
"476","Volume 128 May 2013 Issue 2","A ALESINA, P GIULIANO, N NUNN, B CRéPON, E DUFLO, M GURGAND, ...",NA,"0",NA
"477","Economics (14)-Archived Research and Teaching Output of the MIT Community","J Angrist, C Walters, J Hausman, V Chernozhukov, P Diamond, G Ellison",NA,"0",NA
"478","Browsing Center for Energy and Environmental Policy Research by Title Research and Teaching Output of the MIT Community","RS Pindyck, J Currie, M Greenstone, E Moretti, MA Adelman, ER Berndt, ...",NA,"0",NA
"479","ALBERTO ALESINA, PAOLA GIULIANO, AND NATHAN NUNN","B CRé, E DUFLO, M GURGAND, R RATHELOT, P ZAMORA, SJ DAVIS, ...",NA,"0",NA
"480","andornized Evaluations of interventions","E DUFLO, R GLENNERSTER, M KREMER",NA,"0",NA
"481","Economics and Population","AV BANERJEE, E DUFLO, S Paris, M MARUANI, M MERON, ...",NA,"0",NA
"482","Paper prepared for the AFD Conference, November 25, Paris","E Duflo",NA,"0",NA
"483","Improving Police Effectiveness: The Rajasthan Experiment","A Banerjee, E Duflo, D Keniston, N Singh",NA,"0",NA
"484","Why don’t farmers use fertilizers: 2 Evidence from Field Experiments in Western Kenya 3 (PRELIMINARY AND INCOMPLETE) 4 April 29, 2006 5","E Duflo, M Kremer, J Robinson",NA,"0",NA
"485","Index by Author to Volume 21","S Anderson, M Baker, J Wurgler, AV Banerjee, E Duflo, E Basker, ...",NA,"0",NA
"486","II Acknowledgement to referees: 2000","R Cookson, J Covey, B Croxson, J Cullis, J Currie, B Davies, A Deaton, ...",NA,"0",NA
"487","Bibliographical note","P Angelelli, SE Anthony, K Basu, C Bell, E Bettinger, R Bruhns, ...",NA,"0",NA
"488","Brumberg, R., 282, 335n8","C Ai, JG Altonji, J Ameriks, GF Anderson, T Anderson, O Attanasio, ...","Gan 51 (11), 381n2-408, 0","0",NA
"489","Can political affirmative action for women reduce gender bias?","E Duflo, P Topalova, R Chattopadhyay, R Pande, L Beaman",NA,"0",NA
"490","AIDS prevention: Abstinence vs. risk reduction","E Duflo",NA,"0",NA
"491","Permuted Title Index","AN Berger, G Calzolari, G Brunello, J Currie, SB Carpenter, R Benabou, ...",NA,"0",NA
